,NtotDose,PtotDose,KtotDose,yield_knn,yield_rf,yield_nn,yield_gp,cost,gp_revenue,gp_benefit
136,136.0,-0.19842677557931385,-0.926924156250261,34.54885190240791,30.39891145303718,24.11586110755492,34.75380251355037,163.2,8688.450628387593,8525.250628387592
137,137.0,-0.19842677557931385,-0.926924156250261,34.552044181881605,30.39891145303718,24.173314887309548,34.82094458425838,164.4,8705.236146064595,8540.836146064596
138,138.0,-0.19842677557931385,-0.926924156250261,34.555244190607446,30.39891145303718,24.23100706801268,34.88760667722313,165.6,8721.901669305784,8556.301669305783
139,139.0,-0.19842677557931385,-0.926924156250261,34.558451321727915,30.39891145303718,24.288966058714742,34.953783266525534,166.79999999999998,8738.445816631383,8571.645816631384
140,140.0,-0.19842677557931385,-0.926924156250261,34.561664964491904,30.407411096642253,24.347220032076613,35.01946893434619,168.0,8754.867233586549,8586.867233586549
141,141.0,-0.19842677557931385,-0.926924156250261,34.56488450454689,30.407411096642253,24.405796872486416,35.084658370656314,169.2,8771.164592664078,8601.964592664077
142,142.0,-0.19842677557931385,-0.926924156250261,34.56810932423265,30.407411096642253,24.464724125220407,35.14934637289027,170.4,8787.336593222568,8616.936593222568
143,143.0,-0.19842677557931385,-0.926924156250261,34.57133880287619,30.407411096642253,24.524028946798015,35.213527845596595,171.6,8803.381961399149,8631.781961399149
144,144.0,-0.19842677557931385,-0.926924156250261,34.5745723170878,30.407411096642253,24.58373805667363,35.27719780007005,172.79999999999998,8819.299450017512,8646.499450017513
145,145.0,-0.19842677557931385,-0.926924156250261,34.57780924105809,30.407411096642253,24.643877690399673,35.34035135396653,174.0,8835.087838491632,8661.087838491632
146,146.0,-0.19842677557931385,-0.926924156250261,35.281170655205976,30.407411096642253,24.704473554386695,35.40298373089966,175.2,8850.745932724916,8675.545932724915
147,147.0,-0.19842677557931385,-0.926924156250261,35.285447157664585,30.407411096642253,24.765550782376963,35.46509026002191,176.4,8866.272565005478,8689.872565005478
148,148.0,-0.19842677557931385,-0.926924156250261,35.28972884407431,30.407411096642253,24.82713389373815,35.526666375589755,177.6,8881.666593897438,8704.066593897438
149,149.0,-0.19842677557931385,-0.926924156250261,35.294014880989025,30.407411096642253,24.88924675367379,35.587707616514685,178.79999999999998,8896.926904128672,8718.126904128672
150,150.0,-0.19842677557931385,-0.926924156250261,35.88972671130648,30.407411096642253,24.951912535436513,35.648209625900144,180.0,8912.052406475035,8732.052406475035
151,151.0,-0.19842677557931385,-0.926924156250261,35.893404901650605,30.407411096642253,25.015153684619648,35.70816815056523,181.2,8927.042037641308,8745.842037641307
152,152.0,-0.19842677557931385,-0.926924156250261,35.89708868623339,30.407411096642253,25.078991885592124,35.76757904055812,182.4,8941.89476013953,8759.49476013953
153,153.0,-0.19842677557931385,-0.926924156250261,35.900777329196586,30.176634876750946,25.143448030130678,35.82643824865572,183.6,8956.60956216393,8773.00956216393
154,154.0,-0.19842677557931385,-0.926924156250261,35.90447009022075,30.176634876750946,25.20854218829301,35.88474182985546,184.79999999999998,8971.185457463864,8786.385457463864
155,155.0,-0.19842677557931385,-0.926924156250261,36.44313674211939,30.20906110949551,25.274293581564976,35.94248594085578,186.0,8985.621485213946,8799.621485213946
156,156.0,-0.19842677557931385,-0.926924156250261,36.44657859520116,30.20906110949551,25.34072055830455,35.999666839528764,187.2,8999.91670988219,8812.71670988219
157,157.0,-0.19842677557931385,-0.926924156250261,36.45002576447111,30.20906110949551,25.407840571495594,36.056280884384414,188.4,9014.070221096103,8825.670221096103
158,158.0,-0.19842677557931385,-0.926924156250261,36.453477529971956,30.416302734625948,25.47567015881468,36.11232453402736,189.6,9028.08113350684,8838.481133506839
159,159.0,-0.19842677557931385,-0.926924156250261,36.45693316685372,30.416302734625948,25.544224925005302,36.167794346607764,190.79999999999998,9041.94858665194,8851.148586651942
160,160.0,-0.19842677557931385,-0.926924156250261,36.46039194579521,30.416302734625948,25.613519526544817,36.22268697926638,192.0,9055.671744816595,8863.671744816595
161,161.0,-0.19842677557931385,-0.926924156250261,36.46385313343473,30.416302734625948,25.68356765858157,36.27699918757319,193.2,9069.249796893297,8876.049796893296
162,162.0,-0.19842677557931385,-0.926924156250261,36.467315992809816,30.416302734625948,25.754382044111974,36.33072782496419,194.4,9082.681956241047,8888.281956241048
163,163.0,-0.19842677557931385,-0.926924156250261,36.470779783805376,30.416302734625948,25.825974425360023,36.38386984217158,195.6,9095.967460542894,8900.367460542893
164,164.0,-0.19842677557931385,-0.926924156250261,36.47424376360988,30.416302734625948,25.898355557315483,36.436422286652586,196.79999999999998,9109.105571663147,8912.305571663148
165,165.0,-0.19842677557931385,-0.926924156250261,36.47770718717905,30.288853908348774,25.971535203381155,36.48838230201653,198.0,9122.095575504132,8924.095575504132
