PoidsSpec,NoEssai,NoBloc,NoTraitement,ID,ID_bl,DensitePlants,PrecCropFiveClasses,Cultivar,Maturity5,growing.season,temp_moy_5years,prec_tot_5years,sdi_5years,gdd_5years,NtotDose,PtotDose,KtotDose,soilTextIlr1,soilTextIlr2,soilTextIlr3,soilTypeIlr1_3,soilTypeIlr2_3,soil_pH,soil_P1_Fv.AlP,soil_P1_Al.P,soil_K2_FvMgCa.K,soil_K2_Fv.MgCa,soil_K2_Mg.Ca,soil_P,soil_K,soil_Al,ISP1,test_type
1.08171,72,2,8,72-2-8,72-2,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,105,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.97,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.08139,72,2,9,72-2-9,72-2,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,140,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.97,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.08237,72,3,1,72-3-1,72-3,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,0,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.02,-6.831281952127199,2.506456862029206,-3.1796352379566346,-6.533159316031489,2.191917918442026,39.4562963,122.4755556,1366.296296,2.8878286807563738,N
1.08209,72,3,2,72-3-2,72-3,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,70,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.02,-6.831281952127199,2.506456862029206,-3.1796352379566346,-6.533159316031489,2.191917918442026,39.4562963,122.4755556,1366.296296,2.8878286807563738,N
1.07631,72,3,3,72-3-3,72-3,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,105,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.02,-6.831281952127199,2.506456862029206,-3.1796352379566346,-6.533159316031489,2.191917918442026,39.4562963,122.4755556,1366.296296,2.8878286807563738,N
1.07838,72,3,4,72-3-4,72-3,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,140,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.02,-6.831281952127199,2.506456862029206,-3.1796352379566346,-6.533159316031489,2.191917918442026,39.4562963,122.4755556,1366.296296,2.8878286807563738,N
1.0737,72,3,5,72-3-5,72-3,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,140,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.02,-6.831281952127199,2.506456862029206,-3.1796352379566346,-6.533159316031489,2.191917918442026,39.4562963,122.4755556,1366.296296,2.8878286807563738,N
1.07751,72,3,6,72-3-6,72-3,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,175,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.02,-6.831281952127199,2.506456862029206,-3.1796352379566346,-6.533159316031489,2.191917918442026,39.4562963,122.4755556,1366.296296,2.8878286807563738,N
1.07469,72,3,7,72-3-7,72-3,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,210,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.02,-6.831281952127199,2.506456862029206,-3.1796352379566346,-6.533159316031489,2.191917918442026,39.4562963,122.4755556,1366.296296,2.8878286807563738,N
1.0774,72,3,8,72-3-8,72-3,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,105,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,5.02,-6.831281952127199,2.506456862029206,-3.1796352379566346,-6.533159316031489,2.191917918442026,39.4562963,122.4755556,1366.296296,2.8878286807563738,N
