NoEssai,NoBloc,NoTraitement,ID,ID_bl,NtotDose,PtotDose,KtotDose,test_type,RendVendable
20,2,5,20-2-5,20-2,150,215,215,N,42.84398859
20,2,6,20-2-6,20-2,175,215,215,N,42.80817584
20,3,1,20-3-1,20-3,0,215,215,N,21.42796309
20,3,2,20-3-2,20-3,50,215,215,N,39.64471611
20,3,3,20-3-3,20-3,100,215,215,N,41.13691409
20,3,4,20-3-4,20-3,125,215,215,N,46.3178255
20,3,5,20-3-5,20-3,150,215,215,N,44.78981477
20,3,6,20-3-6,20-3,175,215,215,N,37.43626309
24,1,1,24-1-1,24-1,0,180,270,N,37.77321044
24,1,2,24-1-2,24-1,50,180,270,N,32.03921906
24,1,3,24-1-3,24-1,100,180,270,N,32.55970239
24,1,4,24-1-4,24-1,150,180,270,N,39.26613014
24,1,5,24-1-5,24-1,200,180,270,N,41.30989469
24,1,6,24-1-6,24-1,150,180,270,N,37.37764311
24,1,7,24-1-7,24-1,150,180,270,N,39.66516736
24,1,8,24-1-8,24-1,150,180,270,N,48.02152728
24,2,1,24-2-1,24-2,0,180,270,N,31.69396511
24,2,2,24-2-2,24-2,50,180,270,N,41.61611239
24,2,3,24-2-3,24-2,100,180,270,N,35.43016797
24,2,4,24-2-4,24-2,150,180,270,N,44.05544428
24,2,5,24-2-5,24-2,200,180,270,N,38.23904303
24,2,6,24-2-6,24-2,150,180,270,N,44.34604747
24,2,7,24-2-7,24-2,150,180,270,N,33.48442778
24,2,8,24-2-8,24-2,150,180,270,N,36.83981033
24,3,1,24-3-1,24-3,0,180,270,N,40.60203736
24,3,2,24-3-2,24-3,50,180,270,N,35.10746831
24,3,3,24-3-3,24-3,100,180,270,N,35.72684347
24,3,4,24-3-4,24-3,150,180,270,N,46.86692175
24,3,5,24-3-5,24-3,200,180,270,N,43.64166003
24,3,6,24-3-6,24-3,150,180,270,N,49.28716925
24,3,7,24-3-7,24-3,150,180,270,N,37.131281
24,3,8,24-3-8,24-3,150,180,270,N,41.03143611
25,1,1,25-1-1,25-1,0,180,270,N,35.35903525
