,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type
377,35-3-6,35,3,35-3,6,N
378,35-3-7,35,3,35-3,7,N
379,39-1-2,39,1,39-1,2,NPK
380,39-1-3,39,1,39-1,3,NPK
381,39-1-4,39,1,39-1,4,NPK
382,39-1-5,39,1,39-1,5,NPK
383,39-1-6,39,1,39-1,6,NPK
384,39-1-7,39,1,39-1,7,NPK
386,39-1-9,39,1,39-1,9,NPK
387,39-1-10,39,1,39-1,10,NPK
388,39-1-11,39,1,39-1,11,NPK
389,40-1-2,40,1,40-1,2,NPK
390,40-1-3,40,1,40-1,3,NPK
391,40-1-4,40,1,40-1,4,NPK
392,40-1-5,40,1,40-1,5,NPK
393,40-1-6,40,1,40-1,6,NPK
394,40-1-7,40,1,40-1,7,NPK
396,40-1-9,40,1,40-1,9,NPK
397,40-1-10,40,1,40-1,10,NPK
398,40-1-11,40,1,40-1,11,NPK
399,41-1-2,41,1,41-1,2,NPK
400,41-1-3,41,1,41-1,3,NPK
401,41-1-4,41,1,41-1,4,NPK
402,41-1-5,41,1,41-1,5,NPK
403,41-1-6,41,1,41-1,6,NPK
404,41-1-7,41,1,41-1,7,NPK
406,41-1-9,41,1,41-1,9,NPK
407,41-1-10,41,1,41-1,10,NPK
408,41-1-11,41,1,41-1,11,NPK
409,42-1-2,42,1,42-1,2,NPK
410,42-1-3,42,1,42-1,3,NPK
411,42-1-4,42,1,42-1,4,NPK
412,42-1-5,42,1,42-1,5,NPK
413,42-1-6,42,1,42-1,6,NPK
414,42-1-7,42,1,42-1,7,NPK
416,42-1-9,42,1,42-1,9,NPK
417,42-1-10,42,1,42-1,10,NPK
418,42-1-11,42,1,42-1,11,NPK
419,43-1-2,43,1,43-1,2,NPK
420,43-1-3,43,1,43-1,3,NPK
421,43-1-4,43,1,43-1,4,NPK
422,43-1-5,43,1,43-1,5,NPK
423,43-1-6,43,1,43-1,6,NPK
424,43-1-7,43,1,43-1,7,NPK
426,43-1-9,43,1,43-1,9,NPK
427,43-1-10,43,1,43-1,10,NPK
428,43-1-11,43,1,43-1,11,NPK
429,44-1-2,44,1,44-1,2,NPK
430,44-1-4,44,1,44-1,4,NPK
431,44-1-5,44,1,44-1,5,NPK
432,44-1-6,44,1,44-1,6,NPK
433,44-1-7,44,1,44-1,7,NPK
435,44-1-9,44,1,44-1,9,NPK
436,44-1-10,44,1,44-1,10,NPK
437,44-1-11,44,1,44-1,11,NPK
438,46-1-1,46,1,46-1,1,NPK
439,46-1-2,46,1,46-1,2,NPK
440,46-1-3,46,1,46-1,3,NPK
441,46-1-4,46,1,46-1,4,NPK
442,46-1-5,46,1,46-1,5,NPK
443,46-1-6,46,1,46-1,6,NPK
444,46-1-7,46,1,46-1,7,NPK
446,46-1-9,46,1,46-1,9,NPK
447,46-1-10,46,1,46-1,10,NPK
448,46-1-11,46,1,46-1,11,NPK
449,46-2-1,46,2,46-2,1,NPK
450,46-2-2,46,2,46-2,2,NPK
451,46-2-3,46,2,46-2,3,NPK
452,46-2-4,46,2,46-2,4,NPK
453,46-2-5,46,2,46-2,5,NPK
454,46-2-6,46,2,46-2,6,NPK
455,46-2-7,46,2,46-2,7,NPK
457,46-2-9,46,2,46-2,9,NPK
458,46-2-10,46,2,46-2,10,NPK
459,46-2-11,46,2,46-2,11,NPK
460,46-3-1,46,3,46-3,1,NPK
461,46-3-2,46,3,46-3,2,NPK
462,46-3-3,46,3,46-3,3,NPK
463,46-3-4,46,3,46-3,4,NPK
464,46-3-5,46,3,46-3,5,NPK
465,46-3-6,46,3,46-3,6,NPK
466,46-3-7,46,3,46-3,7,NPK
468,46-3-9,46,3,46-3,9,NPK
469,46-3-10,46,3,46-3,10,NPK
470,46-3-11,46,3,46-3,11,NPK
489,47-1-10,47,1,47-1,10,NPK
526,47-3-17,47,3,47-3,17,NPK
537,49-1-1,49,1,49-1,1,NPK
538,49-1-2,49,1,49-1,2,NPK
539,49-1-3,49,1,49-1,3,NPK
540,49-1-4,49,1,49-1,4,NPK
541,49-1-5,49,1,49-1,5,NPK
542,49-1-6,49,1,49-1,6,NPK
543,49-1-7,49,1,49-1,7,NPK
545,49-1-9,49,1,49-1,9,NPK
546,49-1-10,49,1,49-1,10,NPK
547,49-1-11,49,1,49-1,11,NPK
548,49-2-1,49,2,49-2,1,NPK
549,49-2-2,49,2,49-2,2,NPK
550,49-2-3,49,2,49-2,3,NPK
