,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type,obsv,pred
367,27-3-2,27,3,27-3,2,N,1.541127,1.65054
368,27-3-3,27,3,27-3,3,N,1.224839,1.604094
369,27-3-4,27,3,27-3,4,N,1.418323,1.595574
370,28-1-1,28,1,28-1,1,N,0.444627,0.039486
371,28-1-2,28,1,28-1,2,N,0.28928,-0.093281
372,28-1-3,28,1,28-1,3,N,-0.106043,0.177333
373,28-1-4,28,1,28-1,4,N,-0.28806,0.067844
374,28-1-5,28,1,28-1,5,N,-0.157634,0.075729
375,28-1-6,28,1,28-1,6,N,0.305541,0.100131
376,28-2-1,28,2,28-2,1,N,0.135195,-0.083794
377,28-2-2,28,2,28-2,2,N,-1.163369,-0.127686
378,28-2-3,28,2,28-2,3,N,-0.791622,-0.206318
379,28-2-4,28,2,28-2,4,N,0.975316,-0.050642
380,28-2-5,28,2,28-2,5,N,0.472646,-0.034864
381,28-2-6,28,2,28-2,6,N,-0.591959,-0.050642
382,28-3-1,28,3,28-3,1,N,0.444627,-0.051784
383,28-3-2,28,3,28-3,2,N,-0.502228,-0.098704
384,28-3-3,28,3,28-3,3,N,-0.38451,-0.171381
385,28-3-4,28,3,28-3,4,N,-0.781166,-0.177815
386,28-3-5,28,3,28-3,5,N,-0.452932,0.030372
387,28-3-6,28,3,28-3,6,N,-1.086312,-0.078722
388,29-1-1,29,1,29-1,1,N,-0.8179,0.058062
389,29-1-2,29,1,29-1,2,N,0.444627,-0.01193
390,29-1-3,29,1,29-1,3,N,-0.092158,0.177333
391,29-1-4,29,1,29-1,4,N,0.180809,0.067844
392,29-1-5,29,1,29-1,5,N,0.301736,0.147895
393,29-1-6,29,1,29-1,6,N,-0.235861,0.100131
394,29-2-1,29,2,29-2,1,N,0.444627,-0.069279
395,29-2-2,29,2,29-2,2,N,-0.491793,-0.127686
396,29-2-3,29,2,29-2,3,N,-0.643974,-0.278933
397,29-2-4,29,2,29-2,4,N,-0.278497,-0.022361
398,29-2-5,29,2,29-2,5,N,0.577376,-0.118999
399,29-2-6,29,2,29-2,6,N,0.334953,-0.086457
400,29-3-1,29,3,29-3,1,N,0.444627,-0.051784
401,29-3-2,29,3,29-3,2,N,0.444627,-0.084497
402,29-3-3,29,3,29-3,3,N,0.444627,-0.129214
403,29-3-4,29,3,29-3,4,N,0.444627,-0.177815
404,29-3-5,29,3,29-3,5,N,0.803747,-0.068784
405,29-3-6,29,3,29-3,6,N,-0.146117,-0.04221
406,30-1-1,30,1,30-1,1,N,-0.831134,0.058062
407,30-1-2,30,1,30-1,2,N,0.444627,-0.01193
408,30-1-3,30,1,30-1,3,N,0.246901,0.177333
409,30-1-4,30,1,30-1,4,N,1.075112,0.067844
410,30-1-5,30,1,30-1,5,N,-1.411326,0.147895
411,30-1-6,30,1,30-1,6,N,0.033446,0.100131
412,30-1-7,30,1,30-1,7,N,0.600695,0.067844
413,30-1-8,30,1,30-1,8,N,0.444627,0.177333
414,30-1-9,30,1,30-1,9,N,0.698577,0.067844
415,30-1-10,30,1,30-1,10,N,-0.121802,0.067844
416,30-1-11,30,1,30-1,11,N,-0.398964,0.067844
417,30-1-12,30,1,30-1,12,N,0.491944,0.067844
418,31-3-1,31,3,31-3,1,N,0.444627,-0.109937
419,31-3-2,31,3,31-3,2,N,0.328742,-0.098704
420,31-3-3,31,3,31-3,3,N,-0.660293,-0.205355
421,31-3-4,31,3,31-3,4,N,0.444627,-0.111825
422,31-3-5,31,3,31-3,5,N,-0.567405,-0.016664
423,31-3-6,31,3,31-3,6,N,-0.356537,-0.128516
424,31-3-7,31,3,31-3,7,N,0.444627,-0.111825
425,31-3-8,31,3,31-3,8,N,-1.547813,-0.205355
426,31-3-9,31,3,31-3,9,N,0.276593,-0.111825
427,31-3-10,31,3,31-3,10,N,0.185286,-0.111825
428,31-3-11,31,3,31-3,11,N,-0.387796,-0.111825
429,31-3-12,31,3,31-3,12,N,0.226755,-0.111825
430,32-3-1,32,3,32-3,1,NPK,-2.003722,-0.604276
431,32-3-2,32,3,32-3,2,NPK,-0.707315,-0.604276
432,32-3-3,32,3,32-3,3,NPK,-1.61978,-0.604276
433,32-3-4,32,3,32-3,4,NPK,-1.161278,-0.519849
434,32-3-5,32,3,32-3,5,NPK,-1.753265,-0.519849
435,32-3-6,32,3,32-3,6,NPK,-2.046495,-0.519849
436,32-3-7,32,3,32-3,7,NPK,-1.314368,-0.519849
437,32-3-8,32,3,32-3,8,NPK,0.444627,-0.382048
438,32-3-9,32,3,32-3,9,NPK,0.444627,-0.519849
439,32-3-10,32,3,32-3,10,NPK,-1.543586,-0.519849
440,33-3-1,33,3,33-3,1,N,-2.058156,-1.003491
441,33-3-2,33,3,33-3,2,N,-2.620273,-1.311423
442,33-3-3,33,3,33-3,3,N,-1.061574,-1.377062
443,33-3-4,33,3,33-3,4,N,-1.268744,-1.263385
444,33-3-5,33,3,33-3,5,N,-1.007199,-1.377062
445,33-3-6,33,3,33-3,6,N,-1.507175,-1.377062
446,33-3-7,33,3,33-3,7,N,-1.100452,-1.377062
