X,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type,obsv,pred,index,tsizeMS_L,tsizeS_M,RendGros,RendMoy,RendPetit
172,15-1-4,15,1,15-1,4,N,0.444627,0.898448,295,0,-0.01060564778791825,0,18.16900268,18.44356711
173,15-1-5,15,1,15-1,5,N,0.444627,0.859994,296,4.163336342344337e-17,0.2320667928897668,0,21.24889933,15.30398255
174,15-1-6,15,1,15-1,6,N,-2.296167,0.892491,297,-2.7201901469664658,0.3914910916133181,0.632691946,23.34991409,13.42261933
175,15-2-1,15,2,15-2,1,N,0.444627,-0.092476,298,0,-2.519043532628529,0,0.382002685,13.46559463
176,15-2-2,15,2,15-2,2,N,0.444627,0.408304,299,-2.7755575615628914e-17,-0.6913378474246781,0,7.162550336,19.04044631
177,15-2-3,15,2,15-2,3,N,0.444627,0.560266,300,1.3877787807814457e-17,-0.3279892527995497,0,12.64190134,20.10289128
178,15-2-4,15,2,15-2,4,N,0.444627,0.853558,301,5.551115123125783e-17,1.1209755382257058,0,34.20117785,7.007361745
179,15-2-5,15,2,15-2,5,N,0.444627,0.760197,302,0,0.18014682635419568,0,18.31225369,14.19378725
180,15-2-6,15,2,15-2,6,N,0.444627,0.727255,303,-4.163336342344337e-17,0.42127916976829405,0,21.59508926,11.90177114
181,15-3-1,15,3,15-3,1,N,0.444627,0.050724,304,0,-2.118969372996255,0,0.632691946,12.66577651
182,15-3-2,15,3,15-3,2,N,0.444627,0.295938,305,0,-0.892045366904288,0,5.801665772,20.48489396
183,15-3-3,15,3,15-3,3,N,-1.843922,0.511687,306,-2.2713448642294565,-0.1964147080659333,1.098257718,15.43529597,20.3774557
184,15-3-4,15,3,15-3,4,N,0.444627,0.511143,307,-1.3877787807814457e-17,0.4125484349905457,0,27.89813356,15.5666094
185,15-3-5,15,3,15-3,5,N,0.444627,0.654135,308,0,0.5472359743818995,0,27.69519463,12.77321477
186,15-3-6,15,3,15-3,6,N,0.444627,0.731426,309,0,0.043217528567821045,0,18.12125235,17.0468698
187,16-1-1,16,1,16-1,1,N,0.444627,-0.006411,310,-5.551115123125783e-17,1.524205352324043,0,20.19839195,2.339766443
188,16-1-2,16,1,16-1,2,N,0.587363,0.609405,311,0.14166307068616002,1.642244067203815,9.251627517,24.84211208,2.435267114
189,16-1-3,16,1,16-1,3,N,0.865996,0.826243,312,0.4182017855791905,1.4836436752160527,14.27735034,24.42429664,2.996333557
190,16-1-4,16,1,16-1,4,N,0.981458,0.898448,313,0.5327956902808408,1.4373372669887985,17.16624564,24.69886107,3.235085235
191,16-1-5,16,1,16-1,5,N,0.85533,0.859994,314,0.407616070190221,1.3447476500787383,13.13134228,20.62814497,3.079896644
192,16-1-6,16,1,16-1,6,N,0.841201,0.892491,315,0.39359341841650675,1.112483602087182,14.34897584,19.45826174,4.034903356
193,16-2-1,16,2,16-2,1,N,-0.060745,-0.092476,316,-0.5015730941860221,1.523641074424007,3.091834228,16.78424295,1.945826174
194,16-2-2,16,2,16-2,2,N,0.873645,0.408304,317,0.4257930618605785,1.2746711278843632,14.31316309,20.92658456,3.449961745
195,16-2-3,16,2,16-2,3,N,1.075193,0.560266,318,0.625826198998346,1.6024151402739593,19.62538792,28.31594899,2.936645638
196,16-2-4,16,2,16-2,4,N,0.917316,0.853558,319,0.4691355693850438,1.4901098702511733,16.66486711,26.90731409,3.270897987
197,16-2-5,16,2,16-2,5,N,1.23926,0.760197,320,0.7886595680933113,1.91890095965055,18.51519262,27.37287987,1.814512752
198,16-2-6,16,2,16-2,6,N,1.369611,0.727255,321,0.9180304914280604,1.5599658252736632,19.2672604,18.86138255,2.077139597
199,16-3-1,16,3,16-3,1,N,0.444627,0.050724,322,5.551115123125783e-17,0.8496401802789401,0,23.18278792,6.971548993
200,16-3-2,16,3,16-3,2,N,0.518478,0.295938,323,0.07329561892401604,1.4844516810513135,12.53446309,32.73285503,4.011028188
201,16-3-3,16,3,16-3,3,N,0.664677,0.511687,324,0.2183963954594484,1.5577686113359905,14.36091342,33.06710738,3.652900671
202,16-3-4,16,3,16-3,4,N,-1.473806,0.511143,325,-1.9040107497659289,1.549544939332295,1.456385235,44.86144027,5.013785235
203,16-3-5,16,3,16-3,5,N,0.816836,0.654135,326,0.36941079845403846,1.7282288335551976,15.92473691,34.38024161,2.984395973
204,16-3-6,16,3,16-3,6,N,0.33994,0.731426,327,-0.10389957617296114,1.2891056763638693,10.27825973,29.04414161,4.69147047
